Place,Latitude,Longitude
Tokyo,35.6768601,139.7638947
Delhi,28.6138954,77.2090057
Shanghai,31.2312707,121.4700152
Ṣo Paulo,-23.5506507,-46.6333824
Mumbai (Bombay),19.0592671,72.861326
Beijing,39.9057136,116.3912972
Al-Qahirah (Cairo),30.0443879,31.2357257
New York-Newark,43.0467301,-77.0952516
Dhaka,23.7643863,90.3890144
Karachi,24.8546842,67.0207055
Buenos Aires,-34.6095579,-58.3887904
Kolkata (Calcutta),22.5726459,88.3638953
Istanbul,41.006381,28.9758715
